CITY,STATE,  JAN,   FEB,   MAR,   APR,   MAY,   JUN,  JUL,   AUG,   SEP,   OCT,   NOV,   DEC
MISSOULA, MT                  ,0.85,0.7,1,1.22,2.01,2.07,0.99,1.19,1.17,0.88,1.01,1.04
GRAND ISLAND, NE              ,0.53,0.68,1.8,2.53,4.41,4.3,3.4,3.12,2.23,1.86,1.17,0.63
LINCOLN, NE                   ,0.63,0.76,2.09,2.57,4.51,4.48,3.57,3.22,3.04,2.04,1.41,0.93
NORFOLK, NE                   ,0.59,0.76,1.77,2.65,3.93,4.26,3.32,3.25,2.69,2.07,1.37,0.75
NORTH PLATTE, NE              ,0.34,0.5,1.05,2.27,3.28,3.42,3.07,2.29,1.41,1.55,0.64,0.41
OMAHA EPPLEY AP, NE           ,0.72,0.85,1.99,2.96,4.76,4.18,3.83,3.82,2.68,2.15,1.64,1.04
OMAHA (NORTH), NE             ,0.7,0.86,2.12,3.44,4.7,4.12,3.95,3.53,2.86,2.42,1.49,1.02
SCOTTSBLUFF, NE               ,0.41,0.6,1,1.83,2.48,2.85,1.83,1.3,1.18,1.14,0.66,0.51
VALENTINE, NE                 ,0.26,0.48,1.07,2.22,3.13,3.56,3.21,2.18,1.64,1.25,0.65,0.37
ELKO, NV                      ,1.12,0.84,1,0.97,0.96,0.65,0.37,0.37,0.57,0.75,1.11,1.2
ELY, NV                       ,0.7,0.75,0.93,0.95,1.1,0.67,0.64,0.9,0.83,1,0.7,0.59
LAS VEGAS, NV                 ,0.7,0.88,0.57,0.31,0.13,0.09,0.43,0.49,0.36,0.41,0.43,0.57
RENO, NV                      ,1.03,1.02,0.76,0.47,0.49,0.51,0.18,0.23,0.35,0.51,0.82,1.03
WINNEMUCCA, NV                ,0.87,0.66,0.83,0.89,1.12,0.56,0.25,0.18,0.44,0.67,0.88,0.93
CONCORD, NH                   ,2.7,2.62,3.27,3.41,3.66,3.69,3.74,3.18,3.38,4.04,3.72,3.2
MT. WASHINGTON, NH            ,6.44,6.77,7.67,7.44,8.18,8.4,8.77,8.32,8.03,9.27,9.85,7.73
ATLANTIC CITY AP, NJ          ,3.22,2.87,4.21,3.63,3.35,3.11,3.72,4.11,3.15,3.42,3.27,3.69
ATLANTIC CITY C.O.,NJ         ,3.08,2.87,4.02,3.39,3.22,2.68,3.31,3.92,3.08,3.47,3.35,3.62
NEWARK, NJ                    ,3.54,2.88,4.18,4.2,4.09,4.02,4.76,3.7,3.82,3.6,3.65,3.81
ALBUQUERQUE, NM               ,0.38,0.48,0.57,0.61,0.5,0.66,1.5,1.58,1.08,1.02,0.57,0.5
CLAYTON, NM                   ,0.28,0.34,0.95,0.94,1.96,2.13,2.66,2.94,1.67,1.11,0.45,0.36
ROSWELL, NM                   ,0.38,0.42,0.51,0.61,1.25,1.73,2.06,1.97,1.53,1.23,0.58,0.64
ALBANY, NY                    ,2.59,2.2,3.21,3.17,3.61,3.79,4.12,3.46,3.3,3.68,3.29,2.93
BINGHAMTON, NY                ,2.45,2.31,2.99,3.43,3.57,4.31,3.7,3.45,3.63,3.33,3.3,2.83
BUFFALO, NY                   ,3.18,2.49,2.87,3.01,3.46,3.66,3.23,3.26,3.9,3.52,4.01,3.89
ISLIP, NY                     ,3.64,3.26,4.44,4.34,3.78,4.27,3.43,3.98,3.58,3.79,3.67,4.06
NEW YORK C.PARK, NY           ,3.65,3.09,4.36,4.5,4.19,4.41,4.6,4.44,4.28,4.4,4.02,4
NEW YORK (JFK AP), NY         ,3.16,2.59,3.78,3.87,3.94,3.86,4.08,3.68,3.5,3.62,3.3,3.39
NEW YORK (LAGUARDIA AP), NY   ,3.17,2.76,3.97,4,3.79,3.94,4.5,4.12,3.73,3.78,3.41,3.56
ROCHESTER, NY                 ,2.41,1.95,2.5,2.73,2.87,3.34,3.33,3.47,3.38,2.72,2.94,2.63
SYRACUSE, NY                  ,2.5,2.07,2.95,3.19,3.22,3.31,3.78,3.57,3.69,3.44,3.53,3.22
ASHEVILLE, NC                 ,3.49,3.45,4.09,3.61,3.86,5.04,5.38,4.41,3.97,2.85,4.34,3.65
CAPE HATTERAS, NC             ,5.24,4.02,4.77,3.64,3.57,4.03,4.99,6.93,6.25,5.38,4.95,4.27
CHARLOTTE, NC                 ,3.41,3.32,4.01,3.04,3.18,3.74,3.68,4.22,3.24,3.4,3.14,3.25
GREENSBORO-WNSTN-SALM-HGHPT,NC,3.06,2.96,3.73,3.57,3.38,3.73,4.48,3.88,4.19,3.13,3.11,2.98
RALEIGH, NC                   ,3.5,3.23,4.11,2.92,3.27,3.52,4.73,4.26,4.36,3.25,3.12,3.07
WILMINGTON, NC                ,3.76,3.62,4.21,2.82,4.49,5.18,7.48,7.41,7.84,3.89,3.29,3.62
BISMARCK, ND                  ,0.43,0.51,0.87,1.26,2.4,3.17,2.89,2.28,1.59,1.25,0.71,0.49
FARGO, ND                     ,0.7,0.61,1.3,1.36,2.81,3.9,2.79,2.56,2.57,2.15,1,0.83
GRAND FORKS, ND               ,0.55,0.52,0.96,1.01,2.68,3.48,3.15,2.88,2.05,1.97,0.95,0.61
WILLISTON, ND                 ,0.59,0.39,0.71,1,1.92,2.52,2.54,1.45,1.06,0.92,0.65,0.62
AKRON, OH                     ,2.61,2.31,2.98,3.55,4.28,3.83,4.08,3.56,3.45,2.83,3.3,2.84
CLEVELAND, OH                 ,2.72,2.34,2.93,3.49,3.66,3.43,3.46,3.51,3.81,3.07,3.62,3.1
COLUMBUS, OH                  ,2.73,2.25,3.02,3.4,4.17,4.01,4.79,3.32,2.84,2.61,3.2,2.97
DAYTON, OH                    ,2.71,2.24,3.34,4.09,4.66,4.17,4.11,2.99,3.3,2.93,3.39,3.12
MANSFIELD, OH                 ,2.87,2.39,3.39,4.14,4.54,4.75,4.38,4.37,3.32,2.94,3.81,3.29
